season,cccaa_season,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,Bakersfield,bakersfield,davidescobars56n,David Escobar,14,54,51,4.0,14.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,20.0,18,0.0,0.0,1.0,4,0.0,6.0,11.0,0.545,0.275,0.296,0.431,0.727,85.0,0.438,0.25,0.0,0.37,0.037,0.333,0.1
2023,2022-23,Bakersfield,bakersfield,jordanlopezcypi,Jordan Lopez,15,66,51,7.0,14.0,1.0,0.0,0.0,4.0,1.0,0.0,15.0,13.0,15,0.0,0.0,0.0,1,3.0,7.0,15.0,0.467,0.275,0.439,0.314,0.753,88.0,0.368,0.241,0.0,0.197,0.227,-0.03,1.154
2023,2022-23,Bakersfield,bakersfield,josephalatorre0v71,Joseph Alatorre,7,33,31,4.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,6.0,8,0.0,0.0,0.0,1,0.0,10.0,7.0,1.429,0.226,0.273,0.29,0.563,66.0,0.28,0.444,0.0,0.182,0.061,0.121,0.333
2023,2022-23,Bakersfield,bakersfield,josephgutierrezy45s,Joseph Gutierrez,7,21,18,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2,1.0,0.0,0.0,0,1.0,5.0,4.0,1.25,0.111,0.238,0.111,0.349,41.0,0.167,0.4,0.0,0.286,0.095,0.191,0.333
2023,2022-23,Bakersfield,bakersfield,kylelangstonc4jk,Kyle Langston,7,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,235.0,1.0,0.0,0.0,0.0,0.0,0.0,
2023,2022-23,Bakersfield,bakersfield,landongonzalezzpxf,Landon Gonzalez,4,5,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,,0.0,0.4,0.0,0.4,47.0,0.0,0.5,0.0,0.4,0.4,0.0,1.0
2023,2022-23,Bakersfield,bakersfield,luisfuentes2oy1,Luis Fuentes,8,37,31,7.0,9.0,0.0,1.0,0.0,7.0,0.0,0.0,4.0,4.0,11,2.0,0.0,0.0,1,0.0,10.0,5.0,2.0,0.29,0.405,0.387,0.792,93.0,0.333,0.467,0.0,0.108,0.108,0.0,1.0
2023,2022-23,Bakersfield,bakersfield,lukefroehlichwrbw,Luke Froehlich,18,71,58,8.0,11.0,2.0,0.0,0.0,2.0,1.0,1.0,11.0,17.0,13,1.0,1.0,0.0,2,2.0,18.0,10.0,1.8,0.19,0.324,0.259,0.583,68.0,0.268,0.348,0.0,0.239,0.155,0.084,0.647
2023,2022-23,Bakersfield,bakersfield,manualherrera4l45,Manual Herrera,2,8,8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0,1.0,4.0,2.0,2.0,0.125,0.125,0.125,0.25,29.0,0.143,1.0,0.0,0.125,0.0,0.125,0.0
2023,2022-23,Bakersfield,bakersfield,manuelherrera4l45,Manuel Herrera,13,49,45,3.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,5.0,7,1.0,0.0,1.0,0,2.0,19.0,14.0,1.357,0.156,0.204,0.156,0.36,42.0,0.171,0.3,0.0,0.102,0.041,0.061,0.4
2023,2022-23,Bakersfield,bakersfield,ryanredstonelq4i,Ryan Redstone,18,83,64,9.0,15.0,2.0,0.0,0.0,8.0,2.0,1.0,15.0,22.0,17,3.0,0.0,1.0,2,1.0,11.0,13.0,0.846,0.234,0.398,0.297,0.695,82.0,0.349,0.273,0.0,0.265,0.181,0.084,0.682
2023,2022-23,Bakersfield,bakersfield,trevorspainhowards4ma,Trevor Spainhoward,16,70,54,9.0,14.0,2.0,0.0,0.0,7.0,0.0,0.0,10.0,14.0,16,4.0,2.0,0.0,2,3.0,10.0,17.0,0.588,0.259,0.4,0.333,0.733,86.0,0.35,0.321,0.0,0.2,0.143,0.057,0.714
2023,2022-23,Bakersfield,bakersfield,zamareetillmanv1p8,Zamaree Tillman,17,70,56,10.0,13.0,2.0,0.0,1.0,11.0,2.0,0.0,5.0,14.0,18,5.0,2.0,2.0,3,1.0,19.0,13.0,1.462,0.232,0.329,0.375,0.704,83.0,0.279,0.409,0.014,0.2,0.071,0.129,0.357
2023,2022-23,Barstow,barstow,adanmaldonado0cjk,Adan Maldonado,12,34,30,4.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,6.0,6,1.0,0.0,0.0,0,0.0,11.0,5.0,2.2,0.2,0.294,0.2,0.494,58.0,0.25,0.4,0.0,0.176,0.088,0.088,0.5
2023,2022-23,Barstow,barstow,aidanmurphyu17w,Aidan Murphy,7,17,16,1.0,6.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9,1.0,0.0,0.0,3,0.0,4.0,1.0,4.0,0.375,0.412,0.75,1.162,136.0,0.545,0.143,0.0,0.294,0.0,0.294,0.0
2023,2022-23,Barstow,barstow,averykirkupudlz,Avery Kirkup,18,71,63,4.0,16.0,2.0,0.0,0.0,6.0,1.0,1.0,8.0,17.0,18,0.0,0.0,0.0,2,5.0,17.0,13.0,1.308,0.254,0.338,0.317,0.655,77.0,0.348,0.167,0.0,0.239,0.113,0.126,0.471
2023,2022-23,Barstow,barstow,brockmccormick7vd4,Brock McCormick,20,73,63,9.0,11.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,14.0,17,6.0,0.0,0.0,4,2.0,22.0,16.0,1.375,0.175,0.288,0.333,0.621,73.0,0.208,0.4,0.014,0.192,0.055,0.137,0.286
2023,2022-23,Barstow,barstow,chriscorralesq2b5,Chris Corrales,6,11,10,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4,1.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.3,0.364,0.5,0.864,101.0,0.6,0.5,0.0,0.455,0.0,0.455,0.0
2023,2022-23,Barstow,barstow,colesiembabzyhk,Cole Siembab,9,33,23,5.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,8.0,8.0,5,1.0,0.0,1.0,0,0.0,5.0,5.0,1.0,0.217,0.424,0.217,0.641,75.0,0.312,0.357,0.0,0.242,0.242,0.0,1.0
2023,2022-23,Barstow,barstow,dawsonpitsorksrq,Dawson Pitsor,15,50,44,6.0,8.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,10.0,12,2.0,0.0,0.0,2,1.0,13.0,11.0,1.182,0.182,0.28,0.318,0.598,70.0,0.212,0.385,0.02,0.2,0.08,0.12,0.4
