school_name,cccaa_season,team_id,season
Saddleback,2011-12,saddleback,2012
San Bernardino,2011-12,sanbernardino,2012
San Diego City,2011-12,sandiego,2012
San Diego Mesa,2011-12,sandiegomesa,2012
San Francisco,2011-12,sanfrancisco,2012
San Joaquin  Delta,2011-12,sanjoaquindelta,2012
San Mateo,2011-12,sanmateo,2012
Santa Ana,2011-12,santaana,2012
Santa Barbara,2011-12,santabarbara,2012
Santa Rosa,2011-12,santarosa,2012
Sequoias,2011-12,sequoias,2012
Shasta,2011-12,shasta,2012
Sierra,2011-12,sierra,2012
Siskiyous,2011-12,siskiyous,2012
Skyline,2011-12,skyline,2012
Solano,2011-12,solano,2012
Southwestern,2011-12,southwestern,2012
Taft,2011-12,taft,2012
Ventura,2011-12,ventura,2012
Victor Valley,2011-12,victorvalley,2012
West Hills Coalinga,2011-12,westhillscoalinga,2012
West LA,2011-12,westla,2012
West Valley,2011-12,westvalley,2012
Yuba,2011-12,yuba,2012
Allan Hancock,2012-13,allanhancock,2013
American River,2012-13,americanriver,2013
Antelope Valley,2012-13,antelopevalley,2013
Bakersfield,2012-13,bakersfield,2013
Barstow,2012-13,barstow,2013
Butte,2012-13,butte,2013
Cabrillo,2012-13,cabrillo,2013
Canada,2012-13,canada,2013
Canyons,2012-13,canyons,2013
Cerritos,2012-13,cerritos,2013
Cerro Coso,2012-13,cerrocoso,2013
Chabot,2012-13,chabot,2013
Chaffey,2012-13,chaffey,2013
Citrus,2012-13,citrus,2013
Contra Costa,2012-13,contracosta,2013
Cosumnes River,2012-13,cosumnesriver,2013
Cuesta,2012-13,cuesta,2013
Cypress,2012-13,cypress,2013
De Anza,2012-13,deanza,2013
Desert,2012-13,desert,2013
Diablo Valley,2012-13,diablovalley,2013
East Los Angeles,2012-13,eastlosangeles,2013
El Camino,2012-13,elcamino,2013
El Camino-Compton Center,2012-13,elcaminocomptoncenter,2013
Feather River,2012-13,featherriver,2013
Fresno City,2012-13,fresno,2013
Fullerton,2012-13,fullerton,2013
Gavilan,2012-13,gavilan,2013
Glendale,2012-13,glendale,2013
Golden West,2012-13,goldenwest,2013
Grossmont,2012-13,grossmont,2013
Hartnell,2012-13,hartnell,2013
Imperial Valley,2012-13,imperialvalley,2013
Irvine Valley,2012-13,irvinevalley,2013
LA Harbor,2012-13,laharbor,2013
LA Mission,2012-13,lamission,2013
Laney,2012-13,laney,2013
LA Pierce,2012-13,lapierce,2013
Lassen,2012-13,lassen,2013
LA Valley,2012-13,lavalley,2013
Long Beach,2012-13,longbeach,2013
Los Medanos,2012-13,losmedanos,2013
Marin,2012-13,marin,2013
Mendocino,2012-13,mendocino,2013
Merced,2012-13,merced,2013
Mission,2012-13,mission,2013
Modesto,2012-13,modesto,2013
Monterey,2012-13,monterey,2013
Mt. San Antonio,2012-13,mtsanantonio,2013
Mt. San Jacinto,2012-13,mtsanjacinto,2013
Napa,2012-13,napa,2013
Ohlone,2012-13,ohlone,2013
Orange Coast,2012-13,orangecoast,2013
Oxnard,2012-13,oxnard,2013
Palomar,2012-13,palomar,2013
Pasadena,2012-13,pasadena,2013
Porterville,2012-13,porterville,2013
Redwoods,2012-13,redwoods,2013
Reedley,2012-13,reedley,2013
Rio Hondo,2012-13,riohondo,2013
Riverside,2012-13,riverside,2013
Sacramento City,2012-13,sacramentocity,2013
Saddleback,2012-13,saddleback,2013
San Bernardino,2012-13,sanbernardino,2013
San Diego City,2012-13,sandiego,2013
San Diego Mesa,2012-13,sandiegomesa,2013
San Francisco,2012-13,sanfrancisco,2013
San Joaquin  Delta,2012-13,sanjoaquindelta,2013
San Mateo,2012-13,sanmateo,2013
Santa Ana,2012-13,santaana,2013
Santa Barbara,2012-13,santabarbara,2013
Santa Rosa,2012-13,santarosa,2013
Sequoias,2012-13,sequoias,2013
Shasta,2012-13,shasta,2013
Sierra,2012-13,sierra,2013
Siskiyous,2012-13,siskiyous,2013
Skyline,2012-13,skyline,2013
Solano,2012-13,solano,2013
Southwestern,2012-13,southwestern,2013
Taft,2012-13,taft,2013
Ventura,2012-13,ventura,2013
Victor Valley,2012-13,victorvalley,2013
West Hills Coalinga,2012-13,westhillscoalinga,2013
West LA,2012-13,westla,2013
West Valley,2012-13,westvalley,2013
Yuba,2012-13,yuba,2013
Allan Hancock,2013-14,allanhancock,2014
American River,2013-14,americanriver,2014
Antelope Valley,2013-14,antelopevalley,2014
Bakersfield,2013-14,bakersfield,2014
Barstow,2013-14,barstow,2014
Butte,2013-14,butte,2014
Cabrillo,2013-14,cabrillo,2014
Canada,2013-14,canada,2014
Canyons,2013-14,canyons,2014
Cerritos,2013-14,cerritos,2014
Cerro Coso,2013-14,cerrocoso,2014
Chabot,2013-14,chabot,2014
Chaffey,2013-14,chaffey,2014
Citrus,2013-14,citrus,2014
Contra Costa,2013-14,contracosta,2014
Cosumnes River,2013-14,cosumnesriver,2014
Cuesta,2013-14,cuesta,2014
Cypress,2013-14,cypress,2014
De Anza,2013-14,deanza,2014
Desert,2013-14,desert,2014
Diablo Valley,2013-14,diablovalley,2014
East Los Angeles,2013-14,eastlosangeles,2014
El Camino,2013-14,elcamino,2014
El Camino-Compton Center,2013-14,elcaminocomptoncenter,2014
Feather River,2013-14,featherriver,2014
Fresno City,2013-14,fresno,2014
Fullerton,2013-14,fullerton,2014
Gavilan,2013-14,gavilan,2014
Glendale,2013-14,glendale,2014
Golden West,2013-14,goldenwest,2014
Grossmont,2013-14,grossmont,2014
Hartnell,2013-14,hartnell,2014
Imperial Valley,2013-14,imperialvalley,2014
Irvine Valley,2013-14,irvinevalley,2014
LA Harbor,2013-14,laharbor,2014
LA Mission,2013-14,lamission,2014
Laney,2013-14,laney,2014
LA Pierce,2013-14,lapierce,2014
Lassen,2013-14,lassen,2014
LA Valley,2013-14,lavalley,2014
Long Beach,2013-14,longbeach,2014
Los Medanos,2013-14,losmedanos,2014
Marin,2013-14,marin,2014
Mendocino,2013-14,mendocino,2014
Merced,2013-14,merced,2014
Mission,2013-14,mission,2014
Modesto,2013-14,modesto,2014
Monterey,2013-14,monterey,2014
Mt. San Antonio,2013-14,mtsanantonio,2014
Mt. San Jacinto,2013-14,mtsanjacinto,2014
Napa,2013-14,napa,2014
Ohlone,2013-14,ohlone,2014
Orange Coast,2013-14,orangecoast,2014
Oxnard,2013-14,oxnard,2014
Palomar,2013-14,palomar,2014
Pasadena,2013-14,pasadena,2014
Porterville,2013-14,porterville,2014
Redwoods,2013-14,redwoods,2014
Reedley,2013-14,reedley,2014
Rio Hondo,2013-14,riohondo,2014
Riverside,2013-14,riverside,2014
Sacramento City,2013-14,sacramentocity,2014
Saddleback,2013-14,saddleback,2014
San Bernardino,2013-14,sanbernardino,2014
San Diego City,2013-14,sandiego,2014
San Diego Mesa,2013-14,sandiegomesa,2014
San Francisco,2013-14,sanfrancisco,2014
San Joaquin  Delta,2013-14,sanjoaquindelta,2014
San Mateo,2013-14,sanmateo,2014
Santa Ana,2013-14,santaana,2014
Santa Barbara,2013-14,santabarbara,2014
Santa Rosa,2013-14,santarosa,2014
Sequoias,2013-14,sequoias,2014
Shasta,2013-14,shasta,2014
Sierra,2013-14,sierra,2014
Siskiyous,2013-14,siskiyous,2014
Skyline,2013-14,skyline,2014
Solano,2013-14,solano,2014
Southwestern,2013-14,southwestern,2014
Taft,2013-14,taft,2014
Ventura,2013-14,ventura,2014
Victor Valley,2013-14,victorvalley,2014
West Hills Coalinga,2013-14,westhillscoalinga,2014
West LA,2013-14,westla,2014
West Valley,2013-14,westvalley,2014
Yuba,2013-14,yuba,2014
Allan Hancock,2014-15,allanhancock,2015
American River,2014-15,americanriver,2015
Antelope Valley,2014-15,antelopevalley,2015
Bakersfield,2014-15,bakersfield,2015
Barstow,2014-15,barstow,2015
Butte,2014-15,butte,2015
Cabrillo,2014-15,cabrillo,2015
Canada,2014-15,canada,2015
Canyons,2014-15,canyons,2015
Cerritos,2014-15,cerritos,2015
Cerro Coso,2014-15,cerrocoso,2015
Chabot,2014-15,chabot,2015
Chaffey,2014-15,chaffey,2015
Citrus,2014-15,citrus,2015
Contra Costa,2014-15,contracosta,2015
Cosumnes River,2014-15,cosumnesriver,2015
Cuesta,2014-15,cuesta,2015
Cypress,2014-15,cypress,2015
De Anza,2014-15,deanza,2015
Desert,2014-15,desert,2015
Diablo Valley,2014-15,diablovalley,2015
East Los Angeles,2014-15,eastlosangeles,2015
El Camino,2014-15,elcamino,2015
El Camino-Compton Center,2014-15,elcaminocomptoncenter,2015
Feather River,2014-15,featherriver,2015
Folsom Lake,2014-15,folsomlake,2015
Fresno City,2014-15,fresno,2015
Fullerton,2014-15,fullerton,2015
Gavilan,2014-15,gavilan,2015
Glendale,2014-15,glendale,2015
Golden West,2014-15,goldenwest,2015
Grossmont,2014-15,grossmont,2015
Hartnell,2014-15,hartnell,2015
Imperial Valley,2014-15,imperialvalley,2015
Irvine Valley,2014-15,irvinevalley,2015
LA Harbor,2014-15,laharbor,2015
LA Mission,2014-15,lamission,2015
Laney,2014-15,laney,2015
LA Pierce,2014-15,lapierce,2015
Lassen,2014-15,lassen,2015
LA Valley,2014-15,lavalley,2015
Long Beach,2014-15,longbeach,2015
Los Medanos,2014-15,losmedanos,2015
Marin,2014-15,marin,2015
Mendocino,2014-15,mendocino,2015
Merced,2014-15,merced,2015
Mission,2014-15,mission,2015
Modesto,2014-15,modesto,2015
Monterey,2014-15,monterey,2015
Moorpark,2014-15,moorpark,2015
Mt. San Antonio,2014-15,mtsanantonio,2015
Mt. San Jacinto,2014-15,mtsanjacinto,2015
Napa,2014-15,napa,2015
Ohlone,2014-15,ohlone,2015
Orange Coast,2014-15,orangecoast,2015
Oxnard,2014-15,oxnard,2015
Palomar,2014-15,palomar,2015
Pasadena,2014-15,pasadena,2015
Porterville,2014-15,porterville,2015
Redwoods,2014-15,redwoods,2015
Reedley,2014-15,reedley,2015
Rio Hondo,2014-15,riohondo,2015
Riverside,2014-15,riverside,2015
Sacramento City,2014-15,sacramentocity,2015
Saddleback,2014-15,saddleback,2015
San Bernardino,2014-15,sanbernardino,2015
San Diego City,2014-15,sandiego,2015
San Diego Mesa,2014-15,sandiegomesa,2015
San Francisco,2014-15,sanfrancisco,2015
San Joaquin  Delta,2014-15,sanjoaquindelta,2015
San Mateo,2014-15,sanmateo,2015
Santa Ana,2014-15,santaana,2015
Santa Barbara,2014-15,santabarbara,2015
Santa Rosa,2014-15,santarosa,2015
Sequoias,2014-15,sequoias,2015
Shasta,2014-15,shasta,2015
Sierra,2014-15,sierra,2015
Siskiyous,2014-15,siskiyous,2015
Skyline,2014-15,skyline,2015
Solano,2014-15,solano,2015
Southwestern,2014-15,southwestern,2015
Taft,2014-15,taft,2015
Ventura,2014-15,ventura,2015
Victor Valley,2014-15,victorvalley,2015
West Hills Coalinga,2014-15,westhillscoalinga,2015
West LA,2014-15,westla,2015
West Valley,2014-15,westvalley,2015
Yuba,2014-15,yuba,2015
Allan Hancock,2015-16,allanhancock,2016
American River,2015-16,americanriver,2016
Antelope Valley,2015-16,antelopevalley,2016
Bakersfield,2015-16,bakersfield,2016
Barstow,2015-16,barstow,2016
Butte,2015-16,butte,2016
Cabrillo,2015-16,cabrillo,2016
Canada,2015-16,canada,2016
Canyons,2015-16,canyons,2016
Cerritos,2015-16,cerritos,2016
Cerro Coso,2015-16,cerrocoso,2016
Chabot,2015-16,chabot,2016
Chaffey,2015-16,chaffey,2016
Citrus,2015-16,citrus,2016
Contra Costa,2015-16,contracosta,2016
Cosumnes River,2015-16,cosumnesriver,2016
Cuesta,2015-16,cuesta,2016
Cypress,2015-16,cypress,2016
De Anza,2015-16,deanza,2016
Desert,2015-16,desert,2016
Diablo Valley,2015-16,diablovalley,2016
East Los Angeles,2015-16,eastlosangeles,2016
El Camino,2015-16,elcamino,2016
El Camino-Compton Center,2015-16,elcaminocomptoncenter,2016
Feather River,2015-16,featherriver,2016
Folsom Lake,2015-16,folsomlake,2016
Fresno City,2015-16,fresno,2016
Fullerton,2015-16,fullerton,2016
Gavilan,2015-16,gavilan,2016
Glendale,2015-16,glendale,2016
Golden West,2015-16,goldenwest,2016
Grossmont,2015-16,grossmont,2016
Hartnell,2015-16,hartnell,2016
Imperial Valley,2015-16,imperialvalley,2016
Irvine Valley,2015-16,irvinevalley,2016
LA Harbor,2015-16,laharbor,2016
LA Mission,2015-16,lamission,2016
Laney,2015-16,laney,2016
LA Pierce,2015-16,lapierce,2016
Lassen,2015-16,lassen,2016
LA Valley,2015-16,lavalley,2016
Long Beach,2015-16,longbeach,2016
Los Medanos,2015-16,losmedanos,2016
Marin,2015-16,marin,2016
Mendocino,2015-16,mendocino,2016
Merced,2015-16,merced,2016
Mission,2015-16,mission,2016
Modesto,2015-16,modesto,2016
Monterey,2015-16,monterey,2016
Moorpark,2015-16,moorpark,2016
Mt. San Antonio,2015-16,mtsanantonio,2016
Mt. San Jacinto,2015-16,mtsanjacinto,2016
Napa,2015-16,napa,2016
Ohlone,2015-16,ohlone,2016
Orange Coast,2015-16,orangecoast,2016
Oxnard,2015-16,oxnard,2016
Palomar,2015-16,palomar,2016
Pasadena City,2015-16,pasadenacity,2016
Porterville,2015-16,porterville,2016
Redwoods,2015-16,redwoods,2016
Reedley,2015-16,reedley,2016
Rio Hondo,2015-16,riohondo,2016
Riverside,2015-16,riverside,2016
Sacramento City,2015-16,sacramentocity,2016
Saddleback,2015-16,saddleback,2016
San Bernardino,2015-16,sanbernardino,2016
San Diego City,2015-16,sandiego,2016
San Diego Mesa,2015-16,sandiegomesa,2016
San Francisco,2015-16,sanfrancisco,2016
San Joaquin Delta,2015-16,sanjoaquindelta,2016
San Mateo,2015-16,sanmateo,2016
Santa Ana,2015-16,santaana,2016
Santa Barbara,2015-16,santabarbara,2016
Santa Rosa,2015-16,santarosa,2016
Sequoias,2015-16,sequoias,2016
Shasta,2015-16,shasta,2016
Sierra,2015-16,sierra,2016
Siskiyous,2015-16,siskiyous,2016
Skyline,2015-16,skyline,2016
Solano,2015-16,solano,2016
Southwestern,2015-16,southwestern,2016
Taft,2015-16,taft,2016
Ventura,2015-16,ventura,2016
Victor Valley,2015-16,victorvalley,2016
West Hills Coalinga,2015-16,westhillscoalinga,2016
West LA,2015-16,westla,2016
West Valley,2015-16,westvalley,2016
Yuba,2015-16,yuba,2016
Allan Hancock,2016-17,allanhancock,2017
American River,2016-17,americanriver,2017
Antelope Valley,2016-17,antelopevalley,2017
Bakersfield,2016-17,bakersfield,2017
Barstow,2016-17,barstow,2017
Butte,2016-17,butte,2017
Cabrillo,2016-17,cabrillo,2017
Canada,2016-17,canada,2017
Canyons,2016-17,canyons,2017
Cerritos,2016-17,cerritos,2017
Cerro Coso,2016-17,cerrocoso,2017
Chabot,2016-17,chabot,2017
Chaffey,2016-17,chaffey,2017
Citrus,2016-17,citrus,2017
Contra Costa,2016-17,contracosta,2017
Cosumnes River,2016-17,cosumnesriver,2017
Cuesta,2016-17,cuesta,2017
Cypress,2016-17,cypress,2017
De Anza,2016-17,deanza,2017
Desert,2016-17,desert,2017
Diablo Valley,2016-17,diablovalley,2017
East Los Angeles,2016-17,eastlosangeles,2017
EC-Compton Center,2016-17,eccomptoncenter,2017
El Camino,2016-17,elcamino,2017
Feather River,2016-17,featherriver,2017
Folsom Lake,2016-17,folsomlake,2017
Fresno City,2016-17,fresno,2017
Fullerton,2016-17,fullerton,2017
Gavilan,2016-17,gavilan,2017
Glendale,2016-17,glendale,2017
Golden West,2016-17,goldenwest,2017
Grossmont,2016-17,grossmont,2017
Hartnell,2016-17,hartnell,2017
Imperial Valley,2016-17,imperialvalley,2017
Irvine Valley,2016-17,irvinevalley,2017
LA Harbor,2016-17,laharbor,2017
LA Mission,2016-17,lamission,2017
Laney,2016-17,laney,2017
LA Pierce,2016-17,lapierce,2017
Lassen,2016-17,lassen,2017
LA Valley,2016-17,lavalley,2017
Long Beach,2016-17,longbeach,2017
Los Medanos,2016-17,losmedanos,2017
Marin,2016-17,marin,2017
Mendocino,2016-17,mendocino,2017
Merced,2016-17,merced,2017
Mission,2016-17,mission,2017
Modesto,2016-17,modesto,2017
Monterey,2016-17,monterey,2017
Moorpark,2016-17,moorpark,2017
Mt. San Antonio,2016-17,mtsanantonio,2017
Mt. San Jacinto,2016-17,mtsanjacinto,2017
Napa,2016-17,napa,2017
Ohlone,2016-17,ohlone,2017
Orange Coast,2016-17,orangecoast,2017
Oxnard,2016-17,oxnard,2017
Palomar,2016-17,palomar,2017
Pasadena City,2016-17,pasadenacity,2017
Porterville,2016-17,porterville,2017
Redwoods,2016-17,redwoods,2017
Reedley,2016-17,reedley,2017
Rio Hondo,2016-17,riohondo,2017
Riverside,2016-17,riverside,2017
Sacramento City,2016-17,sacramentocity,2017
Saddleback,2016-17,saddleback,2017
San Bernardino,2016-17,sanbernardino,2017
San Diego City,2016-17,sandiego,2017
San Diego Mesa,2016-17,sandiegomesa,2017
San Francisco,2016-17,sanfrancisco,2017
San Joaquin Delta,2016-17,sanjoaquindelta,2017
San Mateo,2016-17,sanmateo,2017
Santa Ana,2016-17,santaana,2017
Santa Barbara,2016-17,santabarbara,2017
Santa Rosa,2016-17,santarosa,2017
Sequoias,2016-17,sequoias,2017
Shasta,2016-17,shasta,2017
Sierra,2016-17,sierra,2017
Siskiyous,2016-17,siskiyous,2017
Skyline,2016-17,skyline,2017
Solano,2016-17,solano,2017
Southwestern,2016-17,southwestern,2017
Taft,2016-17,taft,2017
Ventura,2016-17,ventura,2017
Victor Valley,2016-17,victorvalley,2017
West Hills Coalinga,2016-17,westhillscoalinga,2017
West LA,2016-17,westla,2017
West Valley,2016-17,westvalley,2017
Yuba,2016-17,yuba,2017
Allan Hancock,2017-18,allanhancock,2018
American River,2017-18,americanriver,2018
Antelope Valley,2017-18,antelopevalley,2018
Bakersfield,2017-18,bakersfield,2018
Barstow,2017-18,barstow,2018
Butte,2017-18,butte,2018
Cabrillo,2017-18,cabrillo,2018
Canada,2017-18,canada,2018
Canyons,2017-18,canyons,2018
Cerritos,2017-18,cerritos,2018
Cerro Coso,2017-18,cerrocoso,2018
Chabot,2017-18,chabot,2018
Chaffey,2017-18,chaffey,2018
Citrus,2017-18,citrus,2018
Compton,2017-18,compton,2018
Contra Costa,2017-18,contracosta,2018
Cosumnes River,2017-18,cosumnesriver,2018
Cuesta,2017-18,cuesta,2018
Cypress,2017-18,cypress,2018
De Anza,2017-18,deanza,2018
Desert,2017-18,desert,2018
Diablo Valley,2017-18,diablovalley,2018
East Los Angeles,2017-18,eastlosangeles,2018
El Camino,2017-18,elcamino,2018
Feather River,2017-18,featherriver,2018
Folsom Lake,2017-18,folsomlake,2018
Fresno City,2017-18,fresno,2018
Fullerton,2017-18,fullerton,2018
Gavilan,2017-18,gavilan,2018
Glendale,2017-18,glendale,2018
Golden West,2017-18,goldenwest,2018
Grossmont,2017-18,grossmont,2018
Hartnell,2017-18,hartnell,2018
Imperial Valley,2017-18,imperialvalley,2018
Irvine Valley,2017-18,irvinevalley,2018
LA Harbor,2017-18,laharbor,2018
LA Mission,2017-18,lamission,2018
Laney,2017-18,laney,2018
LA Pierce,2017-18,lapierce,2018
Lassen,2017-18,lassen,2018
LA Valley,2017-18,lavalley,2018
Long Beach,2017-18,longbeach,2018
Los Medanos,2017-18,losmedanos,2018
Marin,2017-18,marin,2018
Mendocino,2017-18,mendocino,2018
Merced,2017-18,merced,2018
Mission,2017-18,mission,2018
Modesto,2017-18,modesto,2018
Monterey Peninsula,2017-18,montereypeninsula,2018
Moorpark,2017-18,moorpark,2018
Mt. San Antonio,2017-18,mtsanantonio,2018
Mt. San Jacinto,2017-18,mtsanjacinto,2018
Napa Valley,2017-18,napavalley,2018
Ohlone,2017-18,ohlone,2018
Orange Coast,2017-18,orangecoast,2018
Oxnard,2017-18,oxnard,2018
Palomar,2017-18,palomar,2018
Pasadena City,2017-18,pasadenacity,2018
Porterville,2017-18,porterville,2018
Redwoods,2017-18,redwoods,2018
Reedley,2017-18,reedley,2018
Rio Hondo,2017-18,riohondo,2018
Riverside,2017-18,riverside,2018
Sacramento City,2017-18,sacramentocity,2018
Saddleback,2017-18,saddleback,2018
San Bernardino Valley,2017-18,sanbernardinovalley,2018
San Diego City,2017-18,sandiegocity,2018
San Diego Mesa,2017-18,sandiegomesa,2018
San Francisco,2017-18,sanfrancisco,2018
San Joaquin Delta,2017-18,sanjoaquindelta,2018
San Mateo,2017-18,sanmateo,2018
Santa Ana,2017-18,santaana,2018
Santa Barbara,2017-18,santabarbara,2018
Santa Rosa,2017-18,santarosa,2018
Sequoias,2017-18,sequoias,2018
Shasta,2017-18,shasta,2018
Sierra,2017-18,sierra,2018
Siskiyous,2017-18,siskiyous,2018
Skyline,2017-18,skyline,2018
Solano,2017-18,solano,2018
Southwestern,2017-18,southwestern,2018
Taft,2017-18,taft,2018
Ventura,2017-18,ventura,2018
Victor Valley,2017-18,victorvalley,2018
West Hills Coalinga,2017-18,westhillscoalinga,2018
West LA,2017-18,westla,2018
West Valley,2017-18,westvalley,2018
Yuba,2017-18,yuba,2018
Allan Hancock,2018-19,allanhancock,2019
American River,2018-19,americanriver,2019
Antelope Valley,2018-19,antelopevalley,2019
Bakersfield,2018-19,bakersfield,2019
Barstow,2018-19,barstow,2019
Butte,2018-19,butte,2019
Cabrillo,2018-19,cabrillo,2019
Canada,2018-19,canada,2019
Canyons,2018-19,canyons,2019
Cerritos,2018-19,cerritos,2019
Cerro Coso,2018-19,cerrocoso,2019
Chabot,2018-19,chabot,2019
Chaffey,2018-19,chaffey,2019
Citrus,2018-19,citrus,2019
Compton,2018-19,compton,2019
Contra Costa,2018-19,contracosta,2019
Cosumnes River,2018-19,cosumnesriver,2019
Cuesta,2018-19,cuesta,2019
Cypress,2018-19,cypress,2019
De Anza,2018-19,deanza,2019
Desert,2018-19,desert,2019
Diablo Valley,2018-19,diablovalley,2019
East Los Angeles,2018-19,eastlosangeles,2019
El Camino,2018-19,elcamino,2019
Feather River,2018-19,featherriver,2019
Folsom Lake,2018-19,folsomlake,2019
Fresno City,2018-19,fresno,2019
Fullerton,2018-19,fullerton,2019
Gavilan,2018-19,gavilan,2019
Glendale,2018-19,glendale,2019
Golden West,2018-19,goldenwest,2019
Grossmont,2018-19,grossmont,2019
Hartnell,2018-19,hartnell,2019
Imperial Valley,2018-19,imperialvalley,2019
Irvine Valley,2018-19,irvinevalley,2019
LA Harbor,2018-19,laharbor,2019
LA Mission,2018-19,lamission,2019
Laney,2018-19,laney,2019
LA Pierce,2018-19,lapierce,2019
Lassen,2018-19,lassen,2019
LA Valley,2018-19,lavalley,2019
Long Beach,2018-19,longbeach,2019
Los Medanos,2018-19,losmedanos,2019
Marin,2018-19,marin,2019
Mendocino,2018-19,mendocino,2019
Merced,2018-19,merced,2019
Mission,2018-19,mission,2019
Modesto,2018-19,modesto,2019
Monterey Peninsula,2018-19,montereypeninsula,2019
Moorpark,2018-19,moorpark,2019
Mt. San Antonio,2018-19,mtsanantonio,2019
Mt. San Jacinto,2018-19,mtsanjacinto,2019
Napa Valley,2018-19,napavalley,2019
Ohlone,2018-19,ohlone,2019
Orange Coast,2018-19,orangecoast,2019
Oxnard,2018-19,oxnard,2019
Palomar,2018-19,palomar,2019
Pasadena City,2018-19,pasadenacity,2019
Porterville,2018-19,porterville,2019
Redwoods,2018-19,redwoods,2019
Reedley,2018-19,reedley,2019
Rio Hondo,2018-19,riohondo,2019
Riverside,2018-19,riverside,2019
Sacramento City,2018-19,sacramentocity,2019
Saddleback,2018-19,saddleback,2019
San Bernardino Valley,2018-19,sanbernardinovalley,2019
San Diego City,2018-19,sandiegocity,2019
San Diego Mesa,2018-19,sandiegomesa,2019
San Francisco,2018-19,sanfrancisco,2019
San Joaquin Delta,2018-19,sanjoaquindelta,2019
San Mateo,2018-19,sanmateo,2019
Santa Ana,2018-19,santaana,2019
Santa Barbara,2018-19,santabarbara,2019
Santa Rosa,2018-19,santarosa,2019
Sequoias,2018-19,sequoias,2019
Shasta,2018-19,shasta,2019
Sierra,2018-19,sierra,2019
Siskiyous,2018-19,siskiyous,2019
Skyline,2018-19,skyline,2019
Solano,2018-19,solano,2019
Southwestern,2018-19,southwestern,2019
Taft,2018-19,taft,2019
Ventura,2018-19,ventura,2019
Victor Valley,2018-19,victorvalley,2019
West Hills Coalinga,2018-19,westhillscoalinga,2019
West LA,2018-19,westla,2019
West Valley,2018-19,westvalley,2019
Yuba,2018-19,yuba,2019
Allan Hancock,2019-20,allanhancock,2020
American River,2019-20,americanriver,2020
Antelope Valley,2019-20,antelopevalley,2020
Bakersfield,2019-20,bakersfield,2020
Barstow,2019-20,barstow,2020
Butte,2019-20,butte,2020
Cabrillo,2019-20,cabrillo,2020
Canada,2019-20,canada,2020
Canyons,2019-20,canyons,2020
Cerritos,2019-20,cerritos,2020
Cerro Coso,2019-20,cerrocoso,2020
Chabot,2019-20,chabot,2020
Chaffey,2019-20,chaffey,2020
Citrus,2019-20,citrus,2020
Compton,2019-20,compton,2020
Contra Costa,2019-20,contracosta,2020
Cosumnes River,2019-20,cosumnesriver,2020
Cuesta,2019-20,cuesta,2020
Cypress,2019-20,cypress,2020
De Anza,2019-20,deanza,2020
Desert,2019-20,desert,2020
Diablo Valley,2019-20,diablovalley,2020
East Los Angeles,2019-20,eastlosangeles,2020
El Camino,2019-20,elcamino,2020
