season,cccaa_season,team,team_id,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,2022-23,Napa Valley,napavalley,1165,973,178.0,242.0,57.0,8.0,13.0,150.0,25.0,13.0,145.0,219.0,347,30.0,5.0,12.0,78,9.0,169.0,250.0,0.676,0.249,0.358,0.444,0.802,93.0,0.304,0.408,0.011,0.188,0.124,0.064,0.662
2023,2022-23,Ohlone,ohlone,1495,1176,360.0,392.0,82.0,14.0,46.0,332.0,124.0,11.0,188.0,187.0,640,94.0,11.0,26.0,142,15.0,237.0,356.0,0.666,0.333,0.451,0.665,1.116,130.0,0.357,0.5,0.031,0.125,0.126,-0.001,1.005
2023,2022-23,Orange Coast,orangecoast,1369,1177,249.0,353.0,76.0,11.0,24.0,213.0,50.0,12.0,142.0,256.0,523,30.0,6.0,14.0,111,26.0,259.0,288.0,0.899,0.3,0.383,0.539,0.922,107.0,0.361,0.449,0.018,0.187,0.104,0.083,0.555
2023,2022-23,Oxnard,oxnard,1247,1043,163.0,276.0,47.0,13.0,3.0,141.0,42.0,13.0,123.0,307.0,358,43.0,23.0,15.0,63,22.0,276.0,196.0,1.408,0.265,0.354,0.404,0.758,88.0,0.365,0.364,0.002,0.246,0.099,0.147,0.401
2023,2022-23,Palomar,palomar,1508,1231,383.0,450.0,93.0,16.0,29.0,334.0,58.0,16.0,154.0,191.0,662,74.0,19.0,30.0,138,15.0,298.0,297.0,1.003,0.366,0.45,0.65,1.1,128.0,0.404,0.545,0.019,0.127,0.102,0.025,0.806
2023,2022-23,Pasadena City,pasadenacity,1425,1131,238.0,329.0,65.0,10.0,19.0,209.0,20.0,7.0,196.0,250.0,471,48.0,27.0,23.0,94,24.0,309.0,275.0,1.124,0.291,0.402,0.5,0.902,105.0,0.35,0.395,0.013,0.175,0.138,0.037,0.784
2023,2022-23,Porterville,porterville,1335,1126,164.0,295.0,50.0,4.0,3.0,141.0,21.0,8.0,141.0,247.0,362,46.0,10.0,12.0,57,23.0,290.0,276.0,1.051,0.262,0.361,0.372,0.733,85.0,0.329,0.336,0.002,0.185,0.106,0.079,0.571
2023,2022-23,Redwoods,redwoods,1072,896,145.0,251.0,42.0,2.0,8.0,114.0,26.0,9.0,125.0,227.0,321,17.0,25.0,9.0,52,23.0,208.0,215.0,0.967,0.28,0.367,0.416,0.783,91.0,0.363,0.356,0.007,0.212,0.117,0.095,0.551
2023,2022-23,Reedley,reedley,1416,1177,286.0,374.0,75.0,9.0,19.0,241.0,23.0,6.0,148.0,224.0,524,44.0,23.0,24.0,103,11.0,265.0,279.0,0.95,0.318,0.4,0.533,0.933,109.0,0.371,0.488,0.013,0.158,0.105,0.053,0.661
2023,2022-23,Rio Hondo,riohondo,1295,1057,172.0,281.0,50.0,9.0,12.0,152.0,21.0,8.0,128.0,169.0,385,59.0,42.0,9.0,71,27.0,357.0,257.0,1.389,0.266,0.361,0.431,0.792,92.0,0.304,0.351,0.009,0.131,0.099,0.032,0.757
2023,2022-23,Riverside,riverside,1372,1126,270.0,349.0,68.0,19.0,12.0,238.0,63.0,7.0,149.0,198.0,491,53.0,22.0,22.0,99,23.0,286.0,292.0,0.979,0.31,0.402,0.524,0.926,108.0,0.359,0.479,0.009,0.144,0.109,0.035,0.753
