season,cccaa_season,team,team_id,date,location,opponent,result,team_score,opp_score,game_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2016,2015-16,Allan Hancock,allanhancock,Mar 18,home,Santa Barbara,L,7,2,20160318_1x2o,10,32,32,2.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,7,0.0,0.0,0.0,2,0.0,13.0,8.0,1.625,0.156,0.156,0.281,0.437,55.0,0.192,0.4,0.0,0.188,0.0,0.188,0.0
2016,2015-16,Allan Hancock,allanhancock,Mar 22,home,East Los Angeles,W,10,9,20160322_5b2l,16,48,42,10.0,19.0,2.0,3.0,2.0,10.0,2.0,1.0,3.0,8.0,33,2.0,1.0,0.0,7,1.0,7.0,0.0,,0.452,0.5,0.952,1.452,182.0,0.531,0.364,0.042,0.167,0.062,0.105,0.375
2016,2015-16,Allan Hancock,allanhancock,Mar 24,home,Cypress,W,8,6,20160324_sh92,15,39,33,8.0,12.0,2.0,0.0,0.0,8.0,1.0,0.0,5.0,8.0,14,0.0,1.0,0.0,2,1.0,9.0,5.0,1.8,0.364,0.436,0.485,0.921,116.0,0.48,0.471,0.0,0.205,0.128,0.077,0.625
2016,2015-16,Allan Hancock,allanhancock,Mar 29,home,Santa Barbara,W,3,2,20160329_trbe,14,39,30,3.0,7.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,11.0,8,1.0,4.0,0.0,1,0.0,12.0,2.0,6.0,0.233,0.308,0.3,0.608,76.0,0.368,0.25,0.0,0.282,0.103,0.179,0.364
2016,2015-16,Allan Hancock,allanhancock,Mar 3,home,LA Pierce,W,5,1,20160303_9s7g,9,34,30,5.0,9.0,2.0,1.0,0.0,5.0,1.0,0.0,3.0,1.0,13,0.0,1.0,0.0,3,0.0,6.0,14.0,0.429,0.3,0.353,0.533,0.886,111.0,0.31,0.417,0.0,0.029,0.088,-0.059,3.0
2016,2015-16,Allan Hancock,allanhancock,Mar 31,home,Ventura,L,15,7,20160331_0lc1,14,37,29,7.0,6.0,2.0,1.0,1.0,7.0,0.0,0.0,6.0,8.0,13,0.0,1.0,1.0,4,1.0,4.0,12.0,0.333,0.207,0.324,0.586,0.91,114.0,0.238,0.545,0.027,0.216,0.162,0.054,0.75
2016,2015-16,Allan Hancock,allanhancock,Mar 5,home,Oxnard,W,3,1,20160305_dxfb,10,32,26,3.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,7.0,9,2.0,0.0,2.0,2,2.0,2.0,11.0,0.182,0.269,0.344,0.423,0.767,96.0,0.333,0.273,0.0,0.219,0.062,0.157,0.286
2016,2015-16,Allan Hancock,allanhancock,Mar 9,home,Oxnard,L,5,1,20160309_lfpe,10,38,31,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,6,1.0,1.0,0.0,1,1.0,12.0,9.0,1.333,0.161,0.289,0.226,0.515,65.0,0.2,0.091,0.0,0.158,0.132,0.026,0.833
2016,2015-16,American River,americanriver,Apr 12,home,San Joaquin Delta,L,9,8,20160412_pii6,9,42,37,8.0,11.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,8.0,12,3.0,1.0,0.0,1,0.0,7.0,9.0,0.778,0.297,0.357,0.351,0.708,89.0,0.379,0.533,0.0,0.19,0.024,0.166,0.125
2016,2015-16,American River,americanriver,Apr 14,home,San Joaquin Delta,W,4,0,20160414_rcad,9,37,31,4.0,6.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,10.0,9,1.0,0.0,0.0,1,0.0,3.0,12.0,0.25,0.194,0.324,0.323,0.647,81.0,0.25,0.273,0.027,0.27,0.135,0.135,0.5
