date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Feb 5,home,Solano,W,7-6,7.0,6.0,1,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 9,home,Marin,L,7-6,7.0,6.0,1,win,20220209_8xpw,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 11,home,Fresno City,L,10-4,10.0,4.0,6,win,20220211_75wp,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 15,home,Los Medanos,W,8-2,8.0,2.0,6,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 17,home,Diablo Valley,L,10-3,10.0,3.0,7,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 19,home,Lassen,W,6-1,6.0,1.0,5,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 22,home,Diablo Valley,W,8-5,8.0,5.0,3,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 24,home,De Anza,W,13-5,13.0,5.0,8,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 25,home,Mission,W,5-2,5.0,2.0,3,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 3,home,Cabrillo,W,8-7,8.0,7.0,1,win,20220303_qwgs,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 5,home,Ohlone,L,8-1,8.0,1.0,7,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 8,home,San Mateo,L,3-2,3.0,2.0,1,win,20220308_dkrz,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 10,home,San Mateo,L,4-1,4.0,1.0,3,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 12,home,Canada,W,11-3,11.0,3.0,8,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 15,home,Canada,W,5-4,5.0,4.0,1,win,20220315_7lqv,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 17,home,West Valley,L,7-0,7.0,0.0,7,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 18,home,West Valley,L,11-8,11.0,8.0,3,win,20220318_m7rr,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 22,home,San Francisco,W,9-5,9.0,5.0,4,win,20220322_5t17,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 24,home,San Francisco,W,7-6,7.0,6.0,1,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 26,home,Skyline,L,3-1,3.0,1.0,2,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 29,home,Monterey Peninsula,W,11-3,11.0,3.0,8,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Mar 31,home,De Anza,W,15-8,15.0,8.0,7,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 2,home,Hartnell,W,10-5,10.0,5.0,5,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 5,home,Skyline,L,13-4,13.0,4.0,9,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 7,home,San Mateo,W,6-0,6.0,0.0,6,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 9,home,San Mateo,W,3-2,3.0,2.0,1,win,20220409_i9yp,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 12,home,Canada,W,15-5,15.0,5.0,10,win,20220412_ob4v,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 14,home,Canada,W,12-1,12.0,1.0,11,win,20220414_c7x2,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 16,home,West Valley,W,11-2,11.0,2.0,9,win,20220416_nsu7,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 19,home,West Valley,W,9-8,9.0,8.0,1,win,20220419_qo3l,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 21,home,San Francisco,W,11-3,11.0,3.0,8,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 23,home,San Francisco,W,6-3,6.0,3.0,3,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 26,home,Skyline,L,10-4,10.0,4.0,6,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Apr 28,home,Skyline,L,10-2,10.0,2.0,8,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Jan 20  #,home,LA Valley,,,,,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Jan 22  #,home,Alumni Game,,,,,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Jan 27,home,Santa Ana,L,28-5,28.0,5.0,23,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Jan 29,home,Mt. San Jacinto,L,7-3,7.0,3.0,4,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 1,home,LA Mission,L,6-2,6.0,2.0,4,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 3,home,Grossmont,L,10-3,10.0,3.0,7,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 8,home,Desert,L,5-0,5.0,0.0,5,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 11,home,Oxnard,L,3-2,3.0,2.0,1,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 12,home,Irvine Valley,L,8-2,8.0,2.0,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 15,home,Barstow,W,7-0,7.0,0.0,7,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 17,home,San Bernardino Valley,W,7-4,7.0,4.0,3,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 19,home,San Diego City,L,9-5,9.0,5.0,4,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 22,home,Desert,L,4-3,4.0,3.0,1,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 24,home,Imperial Valley,W,20-8,20.0,8.0,12,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Feb 26,home,San Bernardino Valley,L,5-4,5.0,4.0,1,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 1,home,Rio Hondo,L,8-5,8.0,5.0,3,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 3,home,Rio Hondo,L,11-2,11.0,2.0,9,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 5,home,Rio Hondo,W,15-9,15.0,9.0,6,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 8,home,Cerritos,L,8-1,8.0,1.0,7,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
Mar 10,home,Cerritos,L,6-4,6.0,4.0,2,win,,,,,,,,,,,,,2022,,Compton,compton,oswaldocalderahlvl,Oswaldo Caldera
